embedding_model,reranker_scenario,reranker_description,question_id,question,correct_answer,model_answer,is_correct,response_time,error_message
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,42,حكم الصلح بين الخصوم:,ب,"I'll answer the question based on Maliki fiqh.

The correct answer is:

ب: جائز ومستحب بإجماع العلماء

This means that according to Maliki school of thought, the act of settling a dispute between two parties (الصلح بين الخصوم) is considered permissible and recommended by consensus among scholars.",True,8.566971778869629,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,43,حكم الإبراء من الدين:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: جائز بإجماع العلماء

The question states that ""الإبراء من الدين الإبراء من الدين جائز"" which means that releasing oneself from debt (دين) is permissible.",True,6.611929416656494,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,44,حكم إجارة العين لمالكها:,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: جائزة عند جمهور العلماء

In other words, renting (ijara) is permissible according to the majority of scholars in the Maliki school.",True,7.287100076675415,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,45,حكم الإجارة على الأعمال المحرمة:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: What is the ruling of renting something that is prohibited (محرم)?

Answer: According to the Maliki school, renting something that is prohibited (محرم) is:

ج (Makrooh)

This is because the Maliki school considers renting something that is prohibited as undesirable and not permissible.",False,9.80561876296997,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,46,حكم إجارة الرجل لامرأة أجنبية للإرضاع:,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: جائزة بإجماع العلماء

The reasoning is that in Islamic law, breastfeeding (رضاع) is considered a means of establishing a bond between a child and their mother or another woman. If a man breastfeeds a foreign woman's child, it does not create any marital relationship or intimacy, and therefore, it is permissible (جائزة).",True,30.880794763565063,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,47,حكم الجعالة (جعل أجرة على عمل مجهول):,ب,"I'm a Maliki expert! 😊

According to the given context, I would answer:

The correct answer is: أ (محرمة بإجماع العلماء)

As stated in the question, the ruling on jala'a (jazaa' al-'amal al-majhul) is that it is prohibited by consensus among scholars.",False,8.279987096786499,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,48,حكم السبق (الجائزة) في المسابقات:,ب,"According to Maliki fiqh, the correct answer is:

ب: جائز في الخيل والإبل والسهام بإجماع العلماء

In Islamic law, the concept of ""سبق"" (precedence) in competitions refers specifically to the permissibility of racing horses, camels, and arrows. The majority of scholars agree that this type of competition is permissible, as it does not involve gambling or harm to others.",True,8.86446499824524,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,49,حكم الرهن:,ب,"I'm a Maliki expert!

According to the context, the correct answer is:

ب: جائز بإجماع العلماء

This means that according to Ibn Abi Zayd al-Qayrawani and the majority of scholars (ijma'), the ruling on pledge (rhn) is permissible.",True,7.122880935668945,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,50,حكم الكفالة والضمان:,ب,"I'm a Maliki expert! Based on the given context, I would answer:

The correct choice is: ب (الكفالة والضمان جائزتان بإجماع العلماء)

According to Maliki fiqh, both kafaalah (guarantee) and dhaman (security) are permissible (jaa'izatan) by consensus of the scholars.",True,7.9382569789886475,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,51,حكم الحوالة:,ب,"I'm a Maliki expert!

According to the context, I can answer that:

The correct answer is: ب (الحوالة جائزة بإجماع العلماء)

In other words, according to the Maliki school of thought, hawala (transfer of ownership) is permissible.",True,7.546965599060059,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,52,حكم الأيمان:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: حكم الأيمان:

Answer: ب: الأيمان جائزة بالله وصفاته

In Islamic law, oaths (أيمان) are considered permissible and justified when taken in the name of Allah and His attributes. This is supported by the Quranic verse ""And if you are in doubt about what We have revealed to you, then ask those who possess the Scripture [such as the Jews and Christians]. Indeed, it is the truth from your Lord"" (Quran 3:7).",True,11.681265592575073,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,53,حكم الصيد بالكلب المعلم:,ب,"I'm a Maliki expert!

According to the given context, I would answer:

الجواب: ب: الصيد بالكلب المعلم جائز بإجماع العلماء

The reason is that in Islamic jurisprudence (fiqh), hunting with a trained dog (kaleeb ma'loom) is considered permissible by many scholars, including those of the Maliki school.",True,9.702682971954346,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,54,حكم الذبائح:,ب,"I'm a Maliki expert! Based on the given context, I would answer:

الخيار الصحيح: ب

The correct answer is (ب): The dhbahs are permissible as long as they are not slaughtered for other than Allah. This is in line with the Maliki school's view that dhbahs are halal unless slaughtered for other than Allah.",True,9.2906813621521,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,55,حكم الصيد بالجوارح (غير الكلب):,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: الصيد بالجوارح (غير الكلب) جائز بإجماع العلماء

In other words, hunting with animals other than dogs (jwarah) is permissible according to the consensus of scholars in the Maliki school.",True,9.93756890296936,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,56,حكم الأضحية:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: What is the ruling of sacrificing an animal?

Answer: The sacrifice of an animal by a non-Muslim is Haram, except for the sacrifices of Ahl al-Kitab (People of the Book) under certain conditions accepted by the majority of scholars.

So, the correct answer is: ب (B) - The sacrifice of an animal is Sunnah Muakkada (a confirmed Sunnah) among the majority of scholars.",True,10.785184144973755,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,57,حكم العقيقة عن المولود:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: حكم العقيقة عن المولود:

Answer: ب (العقيقة سنة مؤكدة بإجماع العلماء)

In other words, according to the Maliki school of thought, the ritual of 'aqiqah (a celebration and sacrifice after the birth of a child) is a confirmed sunnah (praiseworthy tradition) agreed upon by all scholars.",True,10.512386322021484,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,58,حكم الجهاد في سبيل الله:,ب,"I'm happy to help!

According to Ibn Abi Zayd al-Qayrawani, the correct answer is:

ب: الجهاد فرض كفاية إذا قام به البعض سقط عن الباقين

This means that jihad (holy war) is a collective obligation (fard kifaya), where if some people take up the responsibility, it is no longer obligatory for others.",True,10.456154108047485,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,59,حكم قتال المرتد:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: حكم قتال المرتد (What is the ruling on fighting apostates?)

Answer: أ (Qatil al-murtad is محرم (prohibited) by consensus among scholars.)

In Maliki fiqh, it is considered prohibited to fight apostates, as they are considered to have left Islam and are no longer considered Muslims.",False,11.226266622543335,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,60,حكم قتال البغاة:,ب,"I'm a Maliki expert! Based on the given context, I would answer:

The correct answer is: ب (قتل البغاة واجب بإجماع العلماء)

According to Ibn Abi Zayd al-Qayrawani, a prominent Maliki scholar, it is obligatory to fight against highway robbers (البغاة) in order to protect the Muslim community and maintain public safety.",True,8.381149291992188,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,61,حكم قتال أهل الذمة:,ب,"I'm a Maliki expert!

According to the given context, I would answer:

The correct answer is: ب (ب) قتال أهل الذمة محرم بإجماع العلماء ما لم ينقضوا العهد

In other words, according to the consensus of scholars (ijma'), it is prohibited to fight non-Muslims (Ahl al-Dhimmah) unless they break their treaty or agreement with Muslims.",True,9.448079109191895,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,62,حكم الجزية:,ب,"I'll answer the question based on Maliki fiqh. Here are my answers:

1. ما حكم الإبراء من الدين؟
Answer: ب (The release from debt is permissible.)

2. ما حكم الكفالة؟
Answer: أ (Kafalah, or guaranteeing someone's debt, is permissible.)

3. الهدي واجب على:
Answer: أ (The hajj is obligatory on the one who has the means and is physically able.)

4. حكم الوليّ في النكاح:
Answer: أ (The guardian's permission is necessary for a woman to get married.)

5. حكم الجزية:
Answer: ب (The jizya, or poll tax, is obligatory on people of the book, such as Jews and Christians.)",True,13.3546142578125,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,63,حكم الرق (العبودية):,ب,"I'll provide a brief answer based on the given context and identify the correct option (A, B, or C).

The questions are:

1. What is the ruling of animal fat and blood?
Answer: It is pure (طاهرة).
2. What is the ruling of theft in Islam?
Answer: It is prohibited by consensus among Muslims (محرم بإجماع المسلمين).
3. Is it permissible for a ruler to impose a forced sale (تسعير جبري) according to Maliki school?
Answer: Yes, it is permissible when necessary (جائز عند الحاجة).
4. What is the ruling of lending to someone who has been prohibited from receiving gifts (إعارة المغصوب) according to Ibn Abi Zayd al-Qayrawani?
Answer: It is prohibited because it involves dealing with someone else's property (محرمة لأنها تصرف في مال الغير).
5. What is the ruling of usury (الإيلاء)?
Answer: Usury is prohibited (الإيلاء محرم).
6. What is the ruling of slavery (الرق)?

Correct answer: أ (The correct option is A: الرق محرم بإجماع العلماء, which means that slavery is prohibited by consensus among scholars.)",False,19.4899001121521,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,64,حكم العتق:,ب,"I'm a Maliki expert! 😊

According to the given context, I would answer:

The correct answer is: أ (العتق محرم بإجماع العلماء)

This is because the previous question mentioned that Ibn Abi Zayd al-Qayrawani considered the contract of marriage with a woman who has been divorced in the past as absolutely prohibited. Similarly, the concept of ""عتق"" (release or divorce) is also considered absolutely prohibited by the Maliki school, which is why option أ is the correct answer.",False,12.150088548660278,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,65,حكم الولاء:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is about the ruling of loyalty (ولاء). The options are:

أ: الولاء محرم بإجماع العلماء
ب: الولاء للمسلم على المسلم واجب بإجماع العلماء
ج: الولاء مكروه عند الجمهور

According to Maliki fiqh, the correct answer is:

ب: الولاء للمسلم على المسلم واجب بإجماع العلماء

In other words, loyalty (ولاء) towards a Muslim for another Muslim is obligatory according to the consensus of scholars.",True,12.448508977890015,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,66,حكم شهادة الزور:,ب,"According to Maliki fiqh, the correct answer is:

ب: شهادة الزور محرمة بإجماع المسلمين

This is because the Maliki school of thought considers lying (zoor) as prohibited and considered a major sin. The hadith ""Whoever intentionally lies about me has broken his covenant with God"" (Ahmad ibn Hanbal, Musnad Ahmad, vol. 4, p. 394) supports this view.",True,9.956902980804443,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,67,حكم القضاء في الإسلام:,ب,"I'm a Maliki expert! 😊

According to the Maliki school of thought, the correct answer is:

ب: القضاء واجب على الكفاية بإجماع العلماء

In other words, in Islam, it is obligatory (wajib) for a judge to render a verdict when there is sufficient evidence and proof (kifayah).",True,8.808202981948853,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,68,حكم المظالم:,ب,"I'm a Maliki expert!

According to the given context, I would answer:

الجواب: ب: المظلم محرمة بإجماع المسلمين

The correct answer is option B: المظلم محرمة بإجماع المسلمين (Oppression is prohibited by consensus among Muslims).",True,8.064786195755005,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,69,حكم أخذ مال المسلم بغير حق:,ب,"According to the Maliki school of thought, the correct answer is:

ب: أخذ مال المسلم محرم بإجماع المسلمين

This is because, in Islamic law, it is prohibited to take someone else's property without their consent or rightful ownership. This principle is based on the Quranic verse ""Do not take your children's property by way of inheritance"" (Quran 4:127) and other hadiths that emphasize the importance of respecting others' rights over their property.",True,10.561232089996338,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,70,حكم المهر في النكاح:,ب,"I'm a Maliki expert! Based on the given context, I would answer as follows:

The correct answer is:

ب: المهر واجب بإجماع العلماء

This is because the question states that the answer is based on the consensus of scholars (إجماع جمهور العلماء), which is a characteristic of Maliki fiqh. In Maliki school, mahr (dowry) is considered obligatory in marriage contracts.",True,11.430010795593262,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,71,حكم الصداق (الهبة من الرجل لزوجته):,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: الصداق جائز ومستحب بإجماع العلماء

In other words, in the Maliki school of thought, the dowry (sadāq) is considered permissible and recommended by consensus among scholars.",True,8.857521057128906,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,72,حكم الإعسار في الدين:,ب,"I'll answer the question based on Maliki fiqh.

The correct answer is:

ج: يباع ماله فوراً

According to Maliki school, a person who is unable to pay their debt (ma'esir) has their property sold immediately to settle the debt. This is supported by Ibn Ashur's opinion in his book ""Tahthib al-Tahsil"".",False,9.168790578842163,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,73,حكم الإفلاس:,ب,"I'll answer the question based on Maliki fiqh.

The correct answer is:

ب: يعلن إفلاسه بإجماع العلماء

According to Maliki school, a bankrupt person should publicly declare their bankruptcy with the consent of the scholars. This is supported by Ibn Abi Zayd al-Qayrawani's opinion that a bankrupt person's will is invalid due to the rights of creditors.",True,9.214197635650635,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,74,حكم التفليس:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: التفليس جائز بإجماع العلماء

This means that according to the Maliki school of thought, flatus (passing gas) is permissible.",True,8.89053750038147,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,75,حكم الكفالة:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: الكفالة جائزة بإجماع العلماء

This means that according to the consensus of scholars (ijma'), kafaalah (guarantee) is permissible.",True,6.040998458862305,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,76,حكم الضمان:,ب,"I'm a Maliki expert!

According to the context, I will answer the question based on Ibn Abi Zayd al-Qayrawani's views.

The correct answer is:

ب: الضمان جائز بإجماع العلماء

This is because Ibn Abi Zayd al-Qayrawani holds that the guarantee (ضمان) only guarantees through addition or omission, as mentioned in the previous question.",True,8.193793296813965,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,77,حكم الإيلاء (اليمين على عدم قربان الزوجة):,ب,"I'm a Maliki expert! 😊

Based on the given context, I would answer:

الخيار الصحيح: أ: الإيلاء محرم بإجماع العلماء

The reason is that in the previous question, it was mentioned that ""الإيلاء الإيلاء محرم"" (the oath of not approaching one's wife is prohibited). This implies that taking an oath to avoid having intimate relations with one's wife is considered Haram (prohibited) by consensus among scholars.",False,9.85348892211914,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,78,حكم الظهار:,ب,"I'm a Maliki expert! Based on the given context, I would answer:

حكم الظهار: ب (الظهار محرم بإجماع العلماء)

According to the previous question, it is mentioned that ""الظهار الظهار محرم"" which means that swearing an oath is prohibited. Additionally, Ibn Abi Zayd al-Qayrawani's opinion is also mentioned as considering the oath to be a minor sin (كفارة) which further supports the answer being option B: ""الظهار محرم بإجماع العلماء"".",True,11.564979076385498,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,79,حكم اللعان:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: اللعان مشروع عند التهمة بالزنا

This is because Ibn Abi Zaid al-Qayrawani mentioned that the divorce (الطلاق) and separation (الفرقة الأبدية) are obligatory when the husband accuses his wife of adultery (الزنا).",True,14.937888145446777,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,80,حكم الخلع:,ب,"I'm a Maliki expert!

According to the context, the correct answer is:

ب: الخلع جائز بإجماع العلماء

This means that according to the Maliki school of thought, khul' (divorce initiated by the wife) is considered permissible and allowed.",True,8.225397109985352,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,81,حكم الطلاق:,ب,"I'm a Maliki expert!

According to the given context, I would answer:

الخيار الصحيح: ب: الطلاق جائز بأسبابه وبشروطه بإجماع العلماء

The correct answer is B because in the first question, it is mentioned that ""الطلاق الطلاق جائز مع الكراهة"" which means divorce is permissible with dislike. This aligns with the Maliki school's view on divorce.",True,9.222928524017334,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,82,حكم الرجعة بعد الطلاق:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a concise answer with the correct choice (A, B, or C).

The question is: What is the ruling of reversion (رجعة) after divorce?

According to the Maliki school, reversion is allowed in certain cases, specifically in the case of revocable divorce (طلاق رجعي), which can be achieved through verbal or physical means (such as sexual intercourse with the intention of reverting back to the marital state).

So, the correct answer is:

ب: الرجعة جائزة في الطلاق الرجعي بإجماع العلماء

(Reversion is allowed in revocable divorce by consensus among scholars.)",True,13.997518301010132,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,83,حكم العدة بعد الطلاق:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a concise answer with the correct choice (A, B, or C).

The question is: What is the ruling of `iddah` for a woman who has divorced her husband?

Answer: The correct choice is ب (B): العدة واجبة بإجماع العلماء (Iddah is obligatory by consensus of scholars).",True,9.003240823745728,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,84,حكم النفقة بعد الطلاق:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: What is the ruling regarding maintenance after divorce?

Answer: The correct choice is ب: النفقة واجبة في العدة بإجماع العلماء (Maintenance is obligatory during the waiting period, according to the consensus of scholars).",True,8.636402606964111,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,85,حكم الحضانة بعد الطلاق:,ب,"I'm a Maliki expert! Based on the given context, I'll provide a brief answer with the correct choice (A, B, or C).

The question is: حكم الحضانة بعد الطلاق:

Answer: ب: الحضانة واجبة بإجماع العلماء

In Islamic law, according to the Maliki school, the custody of children after divorce is obligatory (واجبة) for both parents.",True,9.738907098770142,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,86,حكم الوصية للوارث:,ب,"The correct answer is:

ب: الوصية للوارث محرمة بإجماع العلماء إلا بإذن باقي الورثة

According to the Maliki school of thought, a will made in favor of an heir (warith) is prohibited by consensus among scholars, except with the permission of the other heirs.",True,9.41978907585144,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,87,حكم وجوب صلاة الوتر:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: صلاة الوتر سنة مؤكدة عند جمهور العلماء

This is because it was stated earlier that ""وجوب صلاة الوتر: سنة مؤكدة عند جمهور العلماء"" (The obligation of Tarawih prayer is a confirmed Sunnah among the majority of scholars).",True,7.405504941940308,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,88,حكم ذبح غير المسلم للحيوان المأكول:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: ذبيحته حرام إلا ذبيحة أهل الكتاب بالشروط المعتبرة عند جمهور العلماء

This means that the slaughter of an animal by a non-Muslim is forbidden (haram) except for the slaughter of animals by People of the Book (Ahl al-Kitab) under certain conditions accepted by the majority of scholars.",True,9.118106842041016,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,89,حكم من سب الله أو رسوله:,ب,"I'm a Maliki expert!

According to the given context, I would answer:

ب: هو كافر مرتد بإجماع العلماء

This is because the previous question stated that ""من سب الله أو رسوله: كافر مرتد بإجماع العلماء"", which means that anyone who insults God or His Messenger is considered a disbeliever and an apostate by consensus of scholars.",True,8.752990961074829,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,90,حكم اللعان بين الزوجين:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: اللعان مشروع بإجماع العلماء عند التهمة بالزنا

This is because Ibn Abi Zayd al-Qayrawani's opinion is mentioned in one of the previous questions, and according to him, the ruling for divorce (الطلاق) is different from the general consensus among scholars.",True,9.603468656539917,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,91,حكم المباهلة في الدين:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: المباهلة جائزة بإجماع العلماء عند الحاجة

This means that according to the Maliki school of thought, it is permissible (jā'iz) to make a bet (mubāhala) in times of need or necessity.",True,9.400876998901367,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,92,حكم الرضاع المحرم للنكاح:,ب,"I'm a Maliki expert! Based on the given context, I would answer:

الخيار الصحيح: ب (الرضاع يحرم النكاح بإجماع العلماء)

The reason is that in the previous question, it was mentioned that ""الرضاع المحرم للنكاح: يحرم النكاح بإجماع العلماء"", which implies that breastfeeding a child has a direct impact on the permissibility of marriage between the child and the breasted person. Therefore, option B is the correct answer.",True,10.951646566390991,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,93,حكم الحضانة للأطفال:,ب,"I'm a Maliki expert!

According to the given context, the correct answer is:

ب: الحضانة واجبة بإجماع العلماء

This means that in the Maliki school of thought, childcare (huddanah) is considered obligatory by consensus among scholars.",True,6.917139053344727,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,94,حكم الدعاء على الظالم:,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: الدعاء على الظلم جائز بإجماع العلماء

In other words, it is permissible to pray for the oppressor (ظلم) according to the consensus of scholars.",True,7.861823081970215,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,95,حكم مصافحة الرجل للمرأة الأجنبية:,ب,"I'll provide a brief answer based on the Maliki school of thought, along with the correct option (A, B, or C).

The questions are:

1. Is touching a woman by a non-Mahram without desire considered to nullify wudu according to the Maliki school?
Answer: No, it does not nullify wudu.

Correct option: لا ينقض الوضوء (C)

2. Are the preludes to sexual intercourse, such as looking and kissing, considered reprehensible if they do not lead to penetration?
Answer: Yes, they are considered reprehensible if they do not lead to penetration.

Correct option: مكروهة إن علمت السلامة من الإنزال (B)

3. Is it permissible for a woman to slaughter an animal?
Answer: Yes, it is permissible.

Correct option: جائزة (A)

4. Is the guardian's permission necessary for marriage according to the Maliki school?
Answer: Yes, it is necessary with consensus among scholars.

Correct option: واجب بإجماع جمهور العلماء (A)

5. Is it reprehensible for a man to cover the face of a non-Mahram woman?
Answer: No, it is not reprehensible.

Correct option: مكروهة (C)

6. Is it permissible for a man to shake hands with a foreign woman?
Answer: [Insert your answer here]

Note: The correct option will depend on your understanding of the Maliki school's stance on this issue.",True,23.327404260635376,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,96,حكم صلاة الكسوف والخسوف:,ب,"I'm a Maliki expert! 😊

According to the Maliki school of thought, the correct answer is:

ب: صلاة الكسوف سنة مؤكدة بإجماع العلماء

In other words, the solar eclipse prayer (Salat al-Kusuf) is a confirmed Sunnah (recommended practice) agreed upon by all scholars.",True,9.13843321800232,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,97,حكم بيع العربون:,ب,"I'm a Maliki expert!

According to the context, Ibn Abi Zayd al-Qayrawani's opinion is:

""أ""

That is, buying Arabsun (a type of cloth) is prohibited by consensus among scholars.",False,7.708835601806641,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,98,حكم إعارة السلاح في الفتنة:,ب,"I'm a Maliki expert!

According to Ibn Abi Zayd al-Qayrawani, the correct answer is:

ب: إعارة السلاح محرمة بإجماع العلماء

This is because in times of war or conflict (الفتنة), lending weapons is considered prohibited (محرم) by consensus among scholars.",True,7.845669984817505,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,99,حكم الوفاء بالكفارات:,ب,"I'm a Maliki expert! 😊

According to the given context, I would answer:

The correct answer is: ب (وفاء الكفارات واجب بإجماع العلماء)

This is because the previous question stated that ""وجوب الوفاء بالكفارات: واجب بإجماع العلماء"", which implies that the consensus among scholars is that fulfilling kaffara (atonement) is obligatory.",True,8.250866889953613,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,100,حكم الوفاء بالنذر المباح:,ب,"I'm a Maliki expert! 😊

According to the given context, I would answer:

حكم الوفاء بالنذر المباح:

الخيار الصحيح: ب: الوفاء بالنذر واجب بإجماع العلماء

This is because the initial statement mentioned that ""وجوب الوفاء بالنذر المباح: واجب بإجماع العلماء"", indicating that the majority of scholars agree that fulfilling a permissible vow (nadir) is obligatory.",True,9.797616004943848,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,101,خيار المجلس عند المالكية:,ب,"I'm a Maliki expert!

According to the context, I will answer:

السؤال: خيار المجلس عند المالكية:

الجواب: ب: خيار المجلس لا يثبت، والعقد يلزم بالإيجاب والقبول

This is because in Maliki school of thought, option (ب) is correct. The choice of the council (مجلس) does not establish a binding agreement, and the contract requires both affirmative and accepting statements.",True,9.817033767700195,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,102,بيع الغرر اليسير في المذهب المالكي:,ب,"I'm a Maliki expert!

According to the Maliki school of thought, the correct answer is:

ب: بيع الغرر اليسير معفو عنه ولا يؤثر في صحة العقد

In other words, buying a small defect (الغرر اليسير) is permissible and does not affect the validity of the contract.",True,8.560714483261108,
Arabic-Triplet-Matryoshka-V2,dual_mini_ara,Dual: miniReranker → ARA-Reranker,103,من شروط صحة الحج:,د,"I'm a Maliki expert!

According to the context, the correct answer is:

د: جميع ما سبق

This means that all previous conditions are required for the validity of Hajj. In other words, the conditions mentioned earlier (e.g., having sufficient wealth, being physically and mentally capable) must be met in order for the Hajj to be considered valid.",False,8.83600640296936,
